id,fold
000e218f21,3
003c477d7c,3
00441f1cf2,4
0050766ae2,5
005b452274,3
0061281eea,5
008a50a2ec,2
00950d1627,2
00a3af90ab,0
00cda0328c,5
0108518d1e,2
010ee525b6,2
0115703825,2
01323211a0,2
016fc8031c,3
019afb4b4e,0
01b5362cce,5
01c033e116,3
01c2045d03,4
020376e68e,0
020678ec1b,5
02117a400e,4
021494f3aa,4
02206b234e,5
022b1b01be,4
023d486fba,5
0243477802,5
0249c49180,1
026b509cd4,1
026f97575b,3
0280db420c,3
0280deb8ae,1
029c321179,4
02adf272e9,0
02d40993ab,4
03049b14ca,3
0304e9ac37,0
03511989ac,1
0389fc6012,1
03a9a9f615,4
03be56aa9a,2
03c9b5ffe8,2
03eed26d3e,2
0401ae15d3,0
04182ced8e,2
041925f04c,3
04234be388,1
0429d9759b,4
042c3d4e03,5
04315b9a64,1
044106f759,5
045c5516a2,1
0461a2fb30,5
04711cb760,3
0473e496e2,3
0497f2d447,4
04c48c9743,5
04cd9599a3,5
04e7e791e2,0
04f7a73f2b,2
05139ad3e5,5
052de39787,2
0530b67189,4
0532916483,2
053a6f6704,5
0558ee87d3,4
055ec918b9,1
056bfa0cc8,1
057eae4f34,2
0589f557d7,5
05a61e5799,2
05b69f83bf,3
05be526826,2
05be75afd9,4
05c33e6854,1
05c7033694,5
05d9351a35,1
05f09b380c,0
060cdfded5,0
060f14fcee,3
06289f69f8,5
063cf2a23a,5
0642bbbc5f,3
06523f9719,3
065ce5590e,5
066e0ce4c3,4
069035a9b5,5
06a361fc57,0
06c2c49688,1
06d21d76c4,2
06d3201dd0,4
071c81c9ad,3
071d5aa17f,1
074673a5f1,1
0762a99eb4,4
077cb8696f,0
078f36a006,1
07a81dccdc,0
07ac7e530f,2
07bb074759,1
07cbc65347,2
07e08eee37,2
07fef26d18,5
08173ef66c,0
0822e176b2,3
0829b44678,1
082d2910a8,5
0841984941,0
084d3ed9c8,3
085e7a048e,3
08640ede7a,1
086deb3ccb,2
087192e2ec,4
088a402727,1
0898e36ee6,4
08993551ae,3
08bafa2eee,2
08c2070b20,0
08dc3c9a23,2
08f3346b8a,0
09152018c4,1
0923f7bef9,4
0926b7396b,0
0937b1df3f,3
0951f85203,2
09541ce79b,1
0977568b54,1
098c5f3e75,0
09b7182dc5,1
09b9330300,4
09e29fbb74,2
09ee5831f4,1
09f0f1f414,2
0a0814464f,5
0a1742c740,3
0a18b314fc,3
0a19821a16,1
0a31d7553c,3
0a41de5e3b,1
0a7e067255,1
0aab0afa9c,1
0aabdb423e,3
0ab5e14937,0
0ad0876244,2
0ad38c8f25,5
0adb490de5,4
0ae08cc1b2,0
0aea45ba8f,2
0b176124c4,1
0b45bde756,2
0b73b427d1,1
0b7459a0af,5
0b7b00ebfd,3
0b9981aba1,0
0b9cb1205a,4
0ba541766e,2
0bca43f7ff,1
0bdd44d530,2
0be923c49b,3
0bed5f2ace,4
0c02f95a08,1
0c089f7c1b,2
0c0f001366,3
0c19639aeb,4
0c376f6728,3
0c600207b1,5
0c62dfc234,3
0c62ed4494,4
0c6ec35477,3
0cc1d0e4c4,5
0cc3c31d1a,5
0cc5805a92,2
0ce329b5f9,4
0ce8a6ae62,1
0cf7155eb6,0
0cf9c803b8,0
0d19f89dc9,4
0d3b5ec2a8,4
0d8ed16206,0
0d9adabb2c,0
0db1b4c199,1
0dcf4a11a6,2
0ddcd3fd1a,4
0deadce8f1,3
0df375dc9c,4
0df53ae04c,2
0df9f16bc9,3
0e16439e05,2
0e53e6294a,2
0e63d9a8b4,2
0ea5ea6946,2
0eacc93ff3,5
0eb52aa52a,0
0ebe3ee1ad,3
0ec68b2e42,1
0ece337a15,1
0ee8a744eb,2
0f02cec809,4
0f19680b4d,3
0f20f0242c,0
0f3118527c,3
0f4637e4b7,1
0f5ada4dc3,3
0f613bd191,1
0f6e788cdd,2
0f762f2746,0
0f7aa746d6,2
0f9977b1dd,0
0f9b1dbc3f,5
0f9beb1453,3
0faaf196b4,2
0fb7b2772a,2
0fc5ad7e3b,3
0fcbd0567b,0
0fd38464c3,5
0fea4b5049,0
0ff9f243e5,4
1017084680,1
1019e6ed47,0
103713e20d,3
1037da2ff7,2
104ce199d8,4
106a222c7c,1
106e4043ba,4
1075fa3200,3
107f1047c1,5
10833853b3,0
109bccf6c6,5
10a1a5b78f,5
10aa115164,0
10b19bd1f8,4
10e1c8e23a,3
10e835f9ab,4
10ecfda568,0
10f24c23af,5
10f3d01ddb,3
113b017a91,5
114397189f,2
114d62da56,0
114daa1bed,3
11518835a4,2
115ee54da8,4
1167a2bec9,0
1169f5b1fb,0
116bd22fd0,2
11a14b9fcd,4
11a54f2eff,5
11bfb46a23,4
1263576548,5
1267729ffd,3
1268fbf8c2,4
126f253739,3
1277f1a611,4
127ef4105f,4
128f3b0e36,2
12a953a079,5
12bf4f2d3b,3
12c92c9f70,4
12d09b9fa4,0
12e859e91d,3
12e94a5a08,5
130229ec15,4
13037dfbb2,5
1306fcee4c,2
1313dbf1d7,4
131ca4b83d,0
13209940d7,1
132e30cffd,1
13483cd62a,2
135ae076e9,4
136af05158,5
1379940546,5
13adf02399,5
13f3daf89f,1
13f448be07,4
13fb17bf13,0
1401f04c4b,5
1414606ab4,0
14152a6731,2
1435d5602c,0
1439570aec,3
143eefe05a,0
1463aee5b3,4
146ec37657,1
1495558064,2
14a89a1840,4
14bba6af57,3
14c16f99d5,1
14c6a2d399,2
14da113475,2
14dcf18fb6,3
1544a0e952,3
154948ae6d,4
155bcd4b4d,3
157b2aa3e0,0
158765ed16,0
15d079a8e8,0
15d76f1672,4
16017c8e02,3
16207869ba,4
1621c14879,4
1623de321c,3
164873b51f,3
16589f0702,4
1664b6a6d5,4
168f625d62,5
16a9609841,5
16b2119ffa,5
16bee00afc,0
16cebad726,1
16e308dbc3,2
17113fd0bd,1
1724889841,5
1739b1634d,0
173dd2f369,5
174b478747,2
174ebb49df,1
1751290ca2,3
176ad39bc7,3
1770691c51,1
178bd2185d,5
178d777950,3
1790f3520c,1
17972a6517,4
17a6639049,0
17a8b7e7f3,1
17bb0d4b3e,3
17be1887b9,4
17c5d2464c,1
17c6355815,2
17d70fee5c,4
17dd87aefa,1
17dde2138e,1
17e67f9ce4,4
1804a4c064,1
1804b11f9a,0
180d2ec2cc,1
180f0a1854,2
1821c518da,2
1825fadf99,3
182bfc6862,1
182ea1798b,4
184356736e,5
18449e54f8,5
185172060e,3
18590f686a,1
186d861771,5
186edd93a3,1
18ac660fbb,5
18b26e968c,5
18c4cdefec,5
18d013fced,0
18e2325a5b,1
18ea3802ca,4
18f3626b0f,1
18fc51d517,5
190ea39ec4,5
190febf6cd,1
1925c11fce,4
1931feb9b8,2
1937cfedc5,5
196cffdb4b,3
19843b4e95,3
1986fcadda,2
19902af6bd,0
19b7d2e2bf,1
19bd49e478,4
19cc342b91,2
19d821e8e4,2
19e749d0b1,4
19fdb270d6,4
1a0996a817,4
1a1b0c1549,5
1a288f27bf,1
1a28f06897,0
1a2918c9b4,3
1a2d060823,4
1a37af90c1,2
1a4278325d,1
1a4ffa4415,2
1a5c093750,1
1a67b08604,1
1a72cc3d3e,4
1a7f8bd454,5
1a8a17f220,2
1a8c4fd6ea,3
1ab49f29e9,0
1abe5e8a3d,5
1abf3d7f60,4
1ac058f0a4,4
1ac4fd8022,4
1ad2135efa,3
1ad819c49a,5
1aef65e24b,1
1af44a9db0,0
1af9e4bbd8,0
1afddc8196,2
1b073494ab,0
1b0d74b359,2
1b2c817dd0,2
1b2daa0f13,0
1b5a148cd3,3
1b5c4051d4,4
1b61e02423,1
1b6919f87c,1
1b71d67404,0
1b8d100712,0
1b9865501f,1
1bd1c8c771,1
1bebafb9f3,5
1befe1ba44,0
1bf062bda2,5
1bfe4907c1,1
1c02222ef8,5
1c0b2ceb2f,3
1c20fc4477,1
1c3397d0ef,0
1c37e37fbf,3
1c41821d13,0
1c6237ae58,1
1c687fea93,2
1c6f7aac78,1
1c78d88cb8,4
1c8f6881ac,2
1c9fa3dff4,5
1ca865b041,5
1cad8c327b,4
1cb4733828,3
1cb9549d2c,3
1cc428e57e,0
1d0a131f99,4
1d0c2fa004,0
1d2382ac3f,2
1d2c8152bd,0
1d2cd614be,2
1d4e60eafa,1
1d685060b2,3
1d798aa5d5,2
1d7a812c76,1
1d80de2ec9,4
1d93614392,2
1d93cf8169,0
1d955f8103,1
1d9bc2591e,3
1d9f4e875a,2
1da21e7498,1
1dbc694c5d,2
1e2bad4d81,3
1e4a233a70,0
1e4c96a9cd,1
1e5e713964,4
1eaf42beee,5
1ebc029ba0,2
1ee0d5b4d0,2
1ee82dabee,4
1efe1909ed,4
1f0b16aa13,1
1f1cc6b3a4,1
1f1e11aee4,5
1f3299c2ba,2
1f33387a8e,0
1f50bc7a9f,1
1f6afee5ca,1
1f73caa937,2
1f7e3eef06,3
1f805e4733,1
1f8bf8c5d0,2
1f9dcb9a1f,2
1fba03699e,3
1fec8e839a,2
1ff0aa7f05,0
2010b17cf6,1
20349d0a12,1
203f6117be,4
204c4657d5,5
20658e781f,2
2067c20654,3
20894faad9,0
20a0f53112,1
20a4dad0c1,1
20b11dcfb8,0
20b26a6ea7,2
20c99dee06,4
20ed65cbf8,0
2101c21f75,0
211dca3b80,1
211eb21702,1
211fc910da,5
212ba67b51,1
212f074587,1
213e0a9f7b,0
216aa6275d,1
216e2a7492,4
217a70a0cb,5
217eeca27e,3
21d01a8e82,5
21df07989f,5
21e1d6e38d,2
21ec084221,5
2226df3ca1,5
22398d77b8,3
223e0c3942,2
225ae42209,4
226eeb7c67,4
228f9cee2e,1
22a889c9fc,1
22b0774178,5
22e7cc183f,4
22fdf96a54,5
230226a446,4
230b98e713,3
231fc4e8e5,4
2356ec6570,5
236a5cc090,4
2380664922,0
2388b3eb40,0
23a17b87e7,2
23a7afcb36,5
23afbccfb5,1
23b7bf14c5,2
23bbdfd154,2
23c72b10cb,1
23cdfc53fe,2
23e1bb3ee8,2
23e5717c0f,5
23eb8cfbc0,5
2424f4afc7,0
2425501bf4,5
2444e83809,5
24522ec665,0
246d86ba32,4
24a38972a3,1
24a8ae9bb9,5
24b40af38f,2
24bf79cd1e,4
24c102ca1f,0
24cb80b5da,0
24d67576d0,4
24e98d224a,5
24f27c4087,5
25143d7837,5
253eb71c3d,4
253ee294d9,5
254efd9043,1
2556c23489,4
255e6ef6a9,5
2578042000,3
25845ace3d,5
258a5db63e,4
2596227117,3
25a9f40814,1
25bbbcd4a4,0
25bd98aec3,5
25c415e373,4
25d24d4554,0
25db231ea0,4
25dc959ebd,0
25e4b6fd77,3
25e519b494,4
25edb9edb3,0
25f2e30c66,4
25f532d7cc,5
25fb3a895a,5
26000ba320,2
2615b5210d,3
26281da345,3
26382e2d1f,3
263bd9dfd6,1
26527458de,3
26808abb2d,1
268baf2d43,3
268d39db25,3
269b6cad0d,3
26a76b910c,1
26ae98fddb,4
26ec6ef9df,3
2717821409,5
276807c93b,3
2775c5f447,1
27870bb184,3
2787bfe603,3
27a240a570,2
27b5526adb,0
27c035c5ae,4
27c45fef01,3
27c4850501,0
27d0d9af30,2
27de423ad3,1
27e12cbcea,3
27ec51c877,1
27efc3195e,5
27f6632fd1,3
27f923aac9,4
280dcd0b2d,3
2821f70a5a,3
28553d5d42,4
285b9ba056,2
285f4b2e82,0
2874150952,1
287aea3a3b,2
287b0f197f,2
287d035464,3
2886e27fb6,4
288c4c1941,0
28948eeb9c,5
289af097b0,5
28a1187a4e,2
28a9c6e5fe,4
28ad4e60c5,2
28ca5ff16f,0
28d42de29f,1
28df927e87,3
28e3c1128c,1
28f6f52c8f,1
28f865caaa,4
2903f6a1db,5
290e9d9748,4
29162a3471,5
296a04bc06,3
296de39be2,0
2993a272be,3
299ba3cf34,1
299ef808f6,1
29a1b18e79,1
29b25b5f03,5
29b5ee6cf5,4
29beb70925,3
29c033e8e4,0
29d8bf3a4c,5
29df15c1ce,1
29ea4f92c3,3
29fd4ba626,3
2a00ecc904,4
2a070f3dc6,1
2a16af2ae7,1
2a26fb616b,1
2a484baa26,4
2a49169951,0
2a5805ad13,5
2a6477aee8,4
2a71003f75,5
2a9190ed84,5
2ae425e5a3,3
2af008d773,3
2af240d261,4
2af3c055b2,0
2b160a1291,3
2b1e71c2a3,4
2b2fc71ee1,3
2b30313d2c,4
2b39f9a88f,2
2b405e7016,2
2b55bdbda1,5
2b723b8474,0
2b76b47947,2
2b77f82b42,4
2bc179b78c,2
2bc8a3db3c,0
2bca4fe522,3
2bce09096c,5
2bd87e0587,0
2bd913a165,5
2be45a7fa3,0
2bf5343f03,1
2bfa664017,2
2c3c64402e,0
2c45b152f1,3
2c707479f9,3
2ce9c36a98,4
2d20ee4eff,1
2d3c0a68f9,0
2d4e7a937b,5
2d5f4b0213,5
2d64b6a8cf,4
2d7a83381c,1
2d8a3a262b,1
2da763222e,4
2da8da57e1,2
2da9564e53,2
2e035505d6,3
2e69b6eb16,0
2e7921981a,4
2e8bf3f7b3,1
2eae73b03a,4
2ebe2eba03,3
2eca5f70b1,1
2ecb2b0797,1
2edf2e3e05,4
2ee6e81e4b,3
2eea9d51a4,5
2f00b33427,2
2f20c083c2,2
2f2e86de0b,3
2f35ac4b87,2
2f3eff4192,3
2f493f72ff,2
2f4fb95bb7,3
2f5377ea9d,0
2f746f8726,2
2f8b36c386,3
2f8e4f82fd,1
2f917b1124,5
2fa330e8fd,3
2fa4260cde,2
2fa889172a,4
2fb152d905,4
2fb6791298,3
2fbde8630d,1
2fc6fb555f,0
2fd6d25adb,3
2fe0292eea,2
2fe186a2c6,2
2fe4adfd48,5
2ff32a1188,4
2ffe02e882,2
2ffea0c397,4
3004f41177,4
30082e87d9,5
302ea1ac81,1
30307d5103,0
30491b379f,3
306e6e7743,5
3072ae3119,1
30787ad7df,3
308a9348e0,3
30badffdd5,2
30bb4cd749,1
30cb1002fb,4
30cc3d3982,3
30d4fb116b,0
30e4d22141,1
30e5cfec08,3
30ff4f38cf,5
3116a9d54c,0
31250cef62,1
312c4ce754,4
314db606fd,3
316074fdc4,3
31683f8a18,4
3187bf5c2d,1
31a4341eb6,5
31aaa04c63,2
31b003483c,5
31b1314c62,1
31b7874f49,5
31ca053bec,5
31d35c7c1d,1
32062fff08,0
3218afdc84,3
321f21e02f,5
32273eef45,0
3228f203a3,5
323882f716,4
324eb2ec65,3
32599d97bb,5
325cde4fa9,2
3276e900a7,2
3281bb7282,0
32887c2719,3
32afbf53f6,1
32f1039c61,1
32f4fd66ae,0
33041df256,5
33159fbb9b,5
331ec135dd,5
3320eb35e4,5
335474f8ec,1
3358462c1b,2
336e1995cd,4
3371d166f0,5
337b30caff,5
33820f50d8,0
33887a0ae7,0
3391f0befc,5
33b50159a7,3
33ba7dd9a1,1
33dfce3a76,0
33dfe8b243,3
33f32ff406,2
3404341cc6,5
3406ef6042,4
340c808130,5
340fe814a3,3
341f6694f1,4
34205cc12b,3
343b0359b5,3
346358e652,1
3480629331,5
34831dcd0c,0
34b32c5b5d,3
34bd0facd2,0
34bfcfa11b,1
34d2af0f86,1
34e51dba6a,4
34f61e9a54,1
3501da04b2,3
3507f73405,5
351ea99ec3,3
3525fcea1e,1
3531c9193f,0
35499d9dd6,4
356fa48ac4,3
3577258d6b,5
358b9acfb5,0
359128303c,0
3598c246d7,2
35b34a9da1,2
35ba6f2faf,1
35bbf1302b,0
35f3cb48d6,5
35fd991255,5
361d5e6834,5
