id,fold
d0244d6c38,0
a31e485287,1
5aa0015d15,2
ad2113ea1c,8
a3e0a0c779,4
b11110b854,5
6f79e6d54b,6
0b9981aba1,7
dc534f1e28,0
eab589e1f2,1
022b1b01be,2
bc3156b1e4,3
99909324ed,4
e82421363e,5
1c0b2ceb2f,6
fcf61d1883,7
4c36178b41,0
d2e14828d5,1
44381a3f55,2
df5df272fb,8
d0e720b57b,4
9a48617407,5
d18a64f984,6
8ee20f502e,7
cc15d94784,0
8c1d0929a2,1
51be9fc3d5,2
7ec839af45,3
b8c3ca0fab,4
06d21d76c4,5
4ad8a63538,6
3a7bbd73af,7
97515a958d,0
fff2abcaf9,1
367c6fb412,2
da5ab3d506,8
e1921d9a0d,4
ec542d0719,5
b749a000ea,6
6738d474a3,7
f2c869e655,0
b7b83447c4,1
ddd0be8fd5,2
7c2609c66c,3
f8ba90c991,4
05b69f83bf,5
46c1a0e9a3,6
c5745e04ff,7
b85046c5c1,0
c1c6a1ebad,1
a37249665e,2
ff8bf1417c,8
16017c8e02,4
fcb49356a5,5
2b39f9a88f,6
135ae076e9,7
7053b28de2,0
0b45bde756,1
f121c06f1f,2
0d8ed16206,3
4bb8260218,4
fa9da6a455,5
80a458a2b6,6
6545c6235b,7
5fe599e1a5,0
b1be1fa682,1
769d51b80b,2
ac6289352d,8
a56e87840f,4
c4911615e1,5
77ecd76754,6
5cb2496125,7
b1ac5ed0b3,0
3ff3881428,1
2d7a83381c,2
fbd61072f4,3
cbd42ee63f,4
7ebd3f0cdd,5
dd9a94a797,6
ebd623bfc6,7
9737133eff,0
8ad8b9b163,1
2eea9d51a4,2
4985566e7d,8
7b2032d7d1,4
24a38972a3,5
0f9977b1dd,6
d84e52cb6e,7
d538594e14,0
b2d7897c35,1
393048bc6c,2
8c9b19f267,3
a5d2da8488,4
95a87f8ad9,5
83c0564224,6
b6f907680a,7
4d03329aa4,0
62e608259a,1
58789490d6,2
aff8ae9d4d,8
9ccf50ab0e,4
4eccb0cb9d,5
4864559ba5,6
6c25735f24,7
eed6c66da4,0
cb0d3e8399,1
f7d4d6fb0d,2
b9bf0422a6,3
808cbefd71,4
6c61beb5dd,5
0ddcd3fd1a,6
a2530b4c45,7
762f01c185,0
9b5bed5c6f,1
d4d34af4f7,2
1f73caa937,8
66fed16154,4
e82b7a2abb,5
b2fbaf80d5,6
bedb558d15,7
74d1d03fc3,0
62d6a9b673,1
50b3aef4c4,2
f2f67e14a6,3
902d01b7dd,4
